BrawlStage|Main Menu
snd_bgm_CRS01_Menu_3DS|CRS01 - Menu
snd_bgm_W33_SBDX_Menu2_3DS|W33 - Menu 2 (Melee)
BrawlStage|Battlefield
snd_bgm_CRS02_Senjyou_3DS|CRS02 - Battlefield
snd_bgm_W34_SBDX_Menu_3DS|W34 - Menu (Melee)
BrawlStage|Final Destination
snd_bgm_CRS03_Shuuten_3DS|CRS03 - Final Destination
snd_bgm_W35_SBDX_Menu_ver2_3DS|W35 - Menu (Melee): Ver. 2
BrawlStage|3D Land
snd_bgm_A27a_3DL_SMB_Theme_Part1_3DS|A27a - Super Mario 3D Land Theme
snd_bgm_A27b_3DL_SMB_Theme_Part2_3DS|A27b - Beach Theme
snd_bgm_A27_3DL_SMB_Theme_3DS|A27 - Super Mario 3D Land Theme / Beach Theme
snd_bgm_A25_SMB3_Medley_3DS|A25 - Super Mario Bros. 3 Medley
BrawlStage|Golden Plains
snd_bgm_A26_NEW2_Athletic_Chijyou_3DS|A26 - Athletic Theme / Ground Theme
snd_bgm_A24_SMB_Chijyou_Chika_3DS|A24 - Ground Theme / Underground Theme
BrawlStage|Rainbow Road
snd_bgm_A30_MKT_RainbowRoad_Medley_3DS|A30 - Rainbow Road Medley
snd_bgm_A31_MKT7_RainbowRoad_3DS|A31 - Rainbow Road (Mario Kart 7)
BrawlStage|Paper Mario
snd_bgm_A29a_PPM_Medley_Part1_3DS|A29a - Paper Mario (Ground)
snd_bgm_A29b_PPM_Medley_Part2_3DS|A29b - Paper Mario (Ship)
snd_bgm_A29c_PPM_Medley_Part3_3DS|A29c - Paper Mario (Bowser's Castle)
snd_bgm_A29_PPM_Medley_3DS|A29 - Paper Mario Medley
snd_bgm_A28_MALRPG4_TryAndTry_3DS|A28 - Try, Try Again
BrawlStage|Mushroomy Kingdom
snd_bgm_A01_SMB_Chijyou_3DS|A01 - Ground Theme (Super Mario Bros.)
snd_bgm_A02_SMB_Chika_3DS|A02 - Underground Theme (Super Mario Bros.)
BrawlStage|Jungle Japes
snd_bgm_T06_SPR_KongoJungle_3DS|T06 - Kongo Jungle
snd_bgm_B11_RTN_ThrillGearFlight_3DS|B11 - Gear Getaway
BrawlStage|Gerudo Valley
snd_bgm_C22_TNO_GerudoNoTani_3DS|C22 - Gerudo Valley
snd_bgm_C09_TNO_Medley_3DS|C09 - Ocarina of Time Medley
BrawlStage|Spirit Train
snd_bgm_C23_DNK_TrainField2_3DS|C23 - Full Stream Ahead (Spirit Tracks)
snd_bgm_C20_ZLD_MainTheme_Chika_3DS|C20 - Main Theme / Underworld Theme
BrawlStage|Brinstar
snd_bgm_W27_MR_Brinstar_3DS|W27 - Brinstar
